study_name,sample_id,species,region,flipper_length_mm,body_mass_g,sex
PAL0910,131,Adelie Penguin (Pygoscelis adeliae),Anvers,190,3325,FEMALE
PAL0910,132,Adelie Penguin (Pygoscelis adeliae),Anvers,197,3500,MALE
PAL0910,133,Adelie Penguin (Pygoscelis adeliae),Anvers,193,3500,FEMALE
PAL0910,134,Adelie Penguin (Pygoscelis adeliae),Anvers,199,4475,MALE
PAL0910,135,Adelie Penguin (Pygoscelis adeliae),Anvers,187,3425,FEMALE
PAL0910,136,Adelie Penguin (Pygoscelis adeliae),Anvers,190,3900,MALE
PAL0910,137,Adelie Penguin (Pygoscelis adeliae),Anvers,191,3175,FEMALE
PAL0910,138,Adelie Penguin (Pygoscelis adeliae),Anvers,200,3975,MALE
PAL0910,139,Adelie Penguin (Pygoscelis adeliae),Anvers,185,3400,FEMALE
PAL0910,140,Adelie Penguin (Pygoscelis adeliae),Anvers,193,4250,MALE
PAL0910,141,Adelie Penguin (Pygoscelis adeliae),Anvers,193,3400,FEMALE
PAL0910,142,Adelie Penguin (Pygoscelis adeliae),Anvers,187,3475,MALE
PAL0910,143,Adelie Penguin (Pygoscelis adeliae),Anvers,188,3050,FEMALE
PAL0910,144,Adelie Penguin (Pygoscelis adeliae),Anvers,190,3725,MALE
PAL0910,145,Adelie Penguin (Pygoscelis adeliae),Anvers,192,3000,FEMALE
PAL0910,146,Adelie Penguin (Pygoscelis adeliae),Anvers,185,3650,MALE
PAL0910,147,Adelie Penguin (Pygoscelis adeliae),Anvers,190,4250,MALE
PAL0910,148,Adelie Penguin (Pygoscelis adeliae),Anvers,184,3475,FEMALE
PAL0910,149,Adelie Penguin (Pygoscelis adeliae),Anvers,195,3450,FEMALE
PAL0910,150,Adelie Penguin (Pygoscelis adeliae),Anvers,193,3750,MALE
PAL0910,151,Adelie Penguin (Pygoscelis adeliae),Anvers,187,3700,FEMALE
PAL0910,152,Adelie Penguin (Pygoscelis adeliae),Anvers,201,4000,MALE
